timestamps,stimulus,TP9,AF7,AF8,TP10,Right AUX
1758510883.0998437,RECT,-36.62109375,-86.9140625,-82.51953125,-35.15625,165.52734375
1758510883.10375,RECT,-65.4296875,-114.2578125,-70.3125,-40.52734375,102.05078125
1758510883.1076562,RECT,-70.80078125,-97.65625,-53.22265625,-50.78125,-169.43359375
1758510883.1115625,RECT,-50.29296875,-75.68359375,-54.6875,-48.828125,-59.5703125
1758510883.1154687,RECT,-41.9921875,-73.73046875,-62.01171875,-39.55078125,342.7734375
1758510883.119375,RECT,-59.5703125,-75.1953125,-83.49609375,-47.36328125,278.80859375
1758510883.1232812,RECT,-69.3359375,-79.58984375,-99.12109375,-45.41015625,-245.1171875
1758510883.1271875,RECT,-52.734375,-93.26171875,-102.05078125,-40.52734375,-377.9296875
1758510883.1310937,RECT,-40.0390625,-97.16796875,-99.609375,-40.0390625,169.921875
1758510883.132125,RECT,-58.59375,-93.75,-94.7265625,-32.71484375,520.5078125
1758510883.1360312,RECT,-61.5234375,-90.8203125,-98.6328125,-30.76171875,-167.48046875
1758510883.1399374,RECT,-41.9921875,-100.5859375,-103.02734375,-37.109375,-343.75
1758510883.1438437,RECT,-37.109375,-107.91015625,-91.30859375,-47.36328125,-203.61328125
1758510883.14775,RECT,-55.6640625,-114.74609375,-96.19140625,-53.7109375,-185.05859375
1758510883.1516562,RECT,-97.16796875,-142.08984375,-148.92578125,-80.56640625,-173.828125
1758510883.1555624,RECT,-103.515625,-152.34375,-156.73828125,-102.05078125,-146.484375
1758510883.1594687,RECT,-76.66015625,-142.08984375,-132.8125,-91.30859375,470.21484375
1758510883.163375,RECT,-79.1015625,-135.7421875,-141.6015625,-83.0078125,522.94921875
1758510883.1672812,RECT,-104.98046875,-144.53125,-130.37109375,-86.9140625,-295.8984375
1758510883.1711874,RECT,-94.7265625,-143.06640625,-120.60546875,-72.75390625,-282.2265625
1758510883.1750937,RECT,-60.546875,-133.7890625,-126.46484375,-63.4765625,-97.16796875
1758510883.177125,RECT,-49.8046875,-126.953125,-125.9765625,-64.453125,-199.21875
1758510883.1810312,RECT,-65.4296875,-104.98046875,-129.39453125,-54.6875,-260.7421875
1758510883.1849375,RECT,-74.21875,-100.5859375,-120.1171875,-54.19921875,-194.3359375
1758510883.1888437,RECT,-56.15234375,-104.4921875,-113.28125,-54.19921875,-91.30859375
1758510883.19275,RECT,-43.45703125,-102.5390625,-110.3515625,-55.17578125,-147.94921875
1758510883.1966562,RECT,-63.96484375,-96.19140625,-121.09375,-62.98828125,-106.4453125
1758510883.2005625,RECT,-73.2421875,-99.609375,-132.8125,-58.59375,343.75
1758510883.2044687,RECT,-56.15234375,-111.81640625,-117.1875,-50.78125,632.32421875
1758510883.208375,RECT,-34.1796875,-103.02734375,-110.83984375,-57.6171875,181.15234375
1758510883.2122812,RECT,-42.96875,-94.7265625,-132.32421875,-58.59375,-218.75
1758510883.2161875,RECT,-68.84765625,-100.09765625,-134.765625,-43.9453125,93.26171875
1758510883.2200937,RECT,-62.01171875,-100.09765625,-105.95703125,-42.48046875,335.9375
1758510883.222125,STAR,-42.48046875,-93.26171875,-84.9609375,-54.19921875,-201.171875
